code UIC complet;libellé point d'arrêt;libellé;libellé STIF (info voyageurs);libellé SMS gare;nom gare;adresse;code INSEE commune;commune;X;Y;Guichet adapté PMR;Boucle magnétique;Portes automatiques d'accès au BV;Bandes d'éveil de vigilance ;CAB Passage Elargi Contrôlé (nombre);Nombre d'ascenceurs (1);Escaliers mécaniques (Nbre);Abris à vélos (Nombre) ;Gare non SNCF
87545269;ABLON;ABLON;GARE D'ABLON;Ablon;Ablon;Place de la Libération 94480   Ablon-sur-Seine ;94001; Ablon-sur-Seine;606090;2414099;0;1;0;0;Pas de CAB;0;;1;0
87386052;ACHERES GRAND CORMIER;ACHERES GRAND CORMIER;GARE D'ACHERES GRAND CORMIER;Achères Gd C;Achères-Grand-Cormier;RN184 / RUE DE LA CITE CROIX SAINT SIMON;78551; Saint-Germain-en-Laye;582084;2439693;0;0;0;1;Pas de CAB;0;;1;0
87381657;ACHERES VILLE;ACHERES VILLE;GARE D'ACHERES VILLE;Achères-V.;Achères-Ville;Rue du Moulin (depuis N186);78005; Achères;581018;2441356;1;1;1;1;2;2;1;0;0
87271460;AEROPORT CHARLES DE GAULLE  1 - Roissy;AEROPORT CHARLES DE GAULLE  1;AEROPORT CDG 1;Roissy CDG 1;Aéroport Charles de Gaulle 1;4 Rue du Versau, 93290 Tremblay en France;93073; Tremblay-en-France;616412;2445760;1;1;1;1;2;2;6;0;0
87001479;AEROPORT CHARLES DE GAULLE 2 TGV - Roissy;AEROPORT CHARLES DE GAULLE 2 TGV;AEROPORT CDG 2 TGV;Roissy CDG 2;;;93073; Tremblay-en-France;617208;2445134;1;1;0;1;2;1;;0;0
87070902;AEROPORT D'ORLY OUEST;AEROPORT D'ORLY OUEST;AEROPORT ORLY ORLYRAIL;;;;91479; Orly;602310;2414394;;;;;;;;;0
87113878;ALLEE DE LA TOUR RENDEZ-VOUS (T4);ALLEE DE LA TOUR RENDEZ-VOUS;ALLEE DE LA TOUR RENDEZ VOUS;;Allée de la Tour-Rendez-Vous;Boulevard d'Aulnay 93250 Villemomble;93077; Villemomble;612434;2433184;0;0;0;1;Pas de CAB;0;;0;0
87381491;ANDRESY;ANDRESY;GARE D'ANDRESY;Andrésy;Andrésy;Place de la Gare 78570 Andrésy;78015; Andrésy;578955;2441881;0;1;0;0;Pas de CAB;0;;1;0
87543090;ANGERVILLE;ANGERVILLE;GARE D'ANGERVILLE;;;;91016; Angerville;575307;2368091;0;1;0;0;Pas de CAB;0;;0;0
87758755;ANTONY;ANTONY;GARE D'ANTONY;;;;92002; Antony;597386;2417354;;;;;;;;;1
87758672;ARCUEIL CACHAN;ARCUEIL CACHAN;GARE D'ARCUEIL CACHAN;;;;94016; Cachan;599368;2422207;;;;;;;;;1
87381848;ARGENTEUIL;ARGENTEUIL;GARE D'ARGENTEUIL;Argenteuil;Argenteuil;Place Pierre Sémard 95100 Argenteuil;95018; Argenteuil;594186;2438758;1;1;1;1;3;4;0;1;0
87545467;ARPAJON;ARPAJON;GARE D'ARPAJON;Arpajon;Arpajon;Rue Aristide Briand 91290   Arpajon ;91021; Arpajon;592945;2398615;0;1;0;0;Pas de CAB;0;;1;0
87381137;ASNIERES SUR SEINE;ASNIERES SUR SEINE;GARE D'ASNIERES;Asnières;Asnières-sur-Seine;Rue de la Station 92600 Asnières sur Seine;92004; Asnières-sur-Seine;596099;2434169;1;1;1;0;Pas de CAB;5;3;0;0
87545251;ATHIS MONS;ATHIS MONS;GARE D'ATHIS MONS;Athis Mons;Athis-Mons;Place de Rothenbourg ob der Tauber 91200   Athis-Mons ;91027; Athis-Mons;604906;2412698;0;1;0;0;Pas de CAB;0;;1;0
87758599;AUBER;AUBER;AUBER;;;;75109; Paris;599554;2430388;;;;;;;;;1
87386730;AUBERGENVILLE ELISABETHVILLE;AUBERGENVILLE ELISABETHVILLE;GARE D'AUBERGENVILLE ELISABETHVILLE;Aubergenvill;Aubergenville-Elisabethville;Rue de la Gare 78410 Aubergenville;78029; Aubergenville;564248;2441642;0;1;0;0;1;0;;0;0
87271411;AULNAY SOUS BOIS;AULNAY SOUS BOIS;GARE D'AULNAY SOUS BOIS;Aulnay;Aulnay-sous-Bois;4 Bld du 11 Nov, 93600 Aulnay Sous Bois;93005; Aulnay-sous-Bois;611577;2437084;1;1;0;1;2;0;2;1;0
87276543;AUVERS SUR OISE;AUVERS SUR OISE;GARE D'AUVERS SUR OISE;Auvers / O.;Auvers-sur-Oise;Rue du Général De Gaulle, 95430 Auvers S/Oise;95039; Auvers-sur-Oise;588213;2452522;1;1;0;0;Pas de CAB;0;;1;0
87543207;AVENUE DU PRESIDENT KENNEDY - Maison de Radio France;AVENUE DU PRESIDENT KENNEDY - Maison de Radio France;AVENUE DU PRESIDENT KENNEDY;Av. Kennedy;Avenue du Président Kennedy;6, Rue du Ranelagh 75016   Paris ;75116; Paris;595874;2428306;0;1;0;1;;2;2;0;0
87381038;AVENUE FOCH;AVENUE FOCH;AVENUE FOCH;Avenue Foch;Avenue Foch;91 Boulevard Flandrin  75016   Paris ;75116; Paris;595582;2430392;0;1;0;1;;1;1;0;0
87381046;AVENUE HENRI MARTIN;AVENUE HENRI MARTIN;AVENUE HENRI MARTIN;H. Martin;Lycée Henri Sellier;Boulevard Edouard Vaillant 93190 Livry-Gargan;75116; Paris;595294;2429546;0;1;0;1;1;2;2;0;0
87684191;BAGNEAUX SUR LOING;BAGNEAUX SUR LOING;GARE DE BAGNEAUX SUR LOING;;Bagneaux-sur-Loing;Place de la gare 77167 Bagneaux-sur-Loing;77016; Bagneaux-sur-Loing;627251;2359136;0;0;0;1;Pas de CAB;0;;0;0
87758680;BAGNEUX;BAGNEUX;GARE DE BAGNEUX;;;;94016; Cachan;598861;2421643;;;;;;;;;1
87681437;BALLANCOURT;BALLANCOURT;GARE DE BALLANCOURT;Ballancourt;Ballancourt;Avenue du Général Leclerc 91610;91045; Ballancourt-sur-Essonne;602569;2392632; ;0;0;0;Pas de CAB;0;;1;0
87382002;BECON LESBRUYERES;BECON LES BRUYERES;GARE DE BECON LES BRUYERES;Bécon-Les-B.;Bécon les Bruyères;Rue Madira - 92400 Courbevoie;92026; Courbevoie;595017;2434148;0;1;0;0;Pas de CAB;0;2;2;0
87393116;BELLEVUE;BELLEVUE;GARE DE BELLEVUE;Bellevue;;;92048; Meudon;592147;2424535;0;1;0;0;Pas de CAB;0;;1;0
87276550;BELLOY SAINT-MARTIN;BELLOY SAINT-MARTIN;GARE DE BELLOY ST MARTIN;Belloy St M.;Belloy-Saint-Martin;Place de la gare 95270 Belloy-en-France;95056; Belloy-en-France;601766;2455509; ;0;0;0;Pas de CAB;0;;0;0
87276642;BESSANCOURT;BESSANCOURT;GARE DE BESSANCOURT;Bessancourt;Bessancourt;Avenue Dupressoir de la Chardonnière 95550 Bessancourt;95060; Bessancourt;590746;2448636;1;1;0;0;Pas de CAB;0;;1;0
87393363;BEYNES;BEYNES;GARE DE BEYNES;Beynes;Beynes;16 Avenue de la Gare 78650 Beynes;78062; Beynes;566180;2429101;0;0;0;0;Pas de CAB;0;;0;0
87328328;BIBLIOTHEQUE FRANCOIS MITTERRAND;Bibliothèque François Mitterrand;BIBLIOTHEQUE F. MITTERRAND;Bibl. F. Mit;;;75113; Paris;602850;2425718;1;1;0;1;3;3;9;0;0
87393546;BIEVRES;BIEVRES;GARE DE BIEVRES;Bièvres;Bièvres;Place de la Gare 91570   Bièvres ;91064; Bièvres;591104;2416982;0;1;0;0;Pas de CAB;0;;0;0
87684407;BOIGNEVILLE;BOIGNEVILLE;GARE DE BOIGNEVILLE;Boigneville;Boigneville;Place de la Gare 91720 Boigneville;91069; Boigneville;603146;2371489;0;0;0;0;Pas de CAB;0;;0;0
87381079;BOIS COLOMBES;BOIS COLOMBES;GARE DE BOIS COLOMBES;B. Colombes;Bois-Colombes;1 Place Gabriel Péri 92270 Bois Colombes;92009; Bois-Colombes;595304;2435033;1;1;1;1;1;2;4;0;0
87682203;BOIS LE ROI;BOIS LE ROI;GARE DE BOIS LE ROI;;Bois-le-Roi;Rue de la gare 77590 Bois-le-Roi;77037; Bois-le-Roi;626292;2386365;0;1;0;0;Pas de CAB;0;;1;0
87682518;BOISSISE LE ROI;BOISSISE LE ROI;GARE DE BOISSISE LE ROI;Boissise;Boissise-le-Roi;Rue de Ponthierry 77310;77040; Boissise-le-Roi;617472;2392350;0;0;0;0;Pas de CAB;0;;0;0
87381152;BOISSY L'AILLERIE;BOISSY L'AILLERIE;GARE DE BOISSY L AILLERIE;Boissy l'A.;Boissy-l'Aillerie;Rue de la Gare 95650 Boissy l'Aillerie;95078; Boissy-l'Aillerie;577252;2453130;0;0;0;0;Pas de CAB;0;;0;0
87758201;BOISSY SAINT-LEGER;BOISSY SAINT-LEGER;GARE DE BOISSY ST LEGER;;;;94004; Boissy-Saint-Léger;612421;2417187;;;;;;;;;1
87113407;BONDY;BONDY;GARE DE BONDY;Bondy;Bondy;1 place de la République 93140 BONDY;93010; Bondy;610435;2432909;0;1;1;1;2;4;;1;0
87545731;BONNEVAL;BONNEVAL;GARE DE BONNEVAL;;;;28051; Bonneval;529321;2354559;;;;;;;;;0
87415893;BONNIERES;BONNIERES;GARE DE BONNIERES;;Bonnières;Place du 8 Mai 1945 78270 Bonnières sur seine;78089; Bonnières-sur-Seine;544763;2449214;0;1;0;0;Pas de CAB;0;;0;0
87276444;BORAN SUR OISE;BORAN SUR OISE;GARE DE BORAN SUR OISE;;;;60086; Boran-sur-Oise;601899;2463271;;;;;;;;;0
87276485;BOUFFEMONT MOISSELLES;BOUFFEMONT MOISSELLES;GARE DE BOUFFEMONT MOISSELLES;Bonneval;Bouffémont-Moisselles;PLACE DE LA GARE 95570 BOUFFEMONT;95091; Bouffémont;598997;2449675;1;1;1;1;Pas de CAB;0;;1;0
87382440;BOUGIVAL;BOUGIVAL;GARE DE BOUGIVAL;Bougival;Bougival;Place Maréchal Leclerc 78170 La Celle-Saint-Cloud;78126; La Celle-Saint-Cloud;585002;2428451;0;0;0;0;Pas de CAB;0;;1;0
87543181;BOULAINVILLIERS;BOULAINVILLIERS;BOULAINVILLIERS;Boulainvill.;Boulainvilliers;52, Rue des Vignes 75016   Paris ;75116; Paris;595474;2428756;0;1;0;1;Pas de CAB;2;2;0;0
87545178;BOURAY;BOURAY;GARE DE BOURAY;Bouray;Bouray;Paté de Lardy 91850  Lardy ;91330; Lardy;596584;2392719;0;1;0;0;Pas de CAB;0;;1;0
87758698;BOURG LA REINE;BOURG LA REINE;GARE DE BOURG LA REINE;;;;92014; Bourg-la-Reine;598276;2420187;;;;;;;;;1
87684118;BOURRON MARLOTTE GREZ;BOURRON MARLOTTE GREZ;GARE DE BOURRON MARLOTTE GREZ;;Bourron-Marlotte-Grez;Avenue Blaise de Montesquiou 77780 Bourron-Marlotte;77048; Bourron-Marlotte;626381;2370480;0;0;0;1;Pas de CAB;0;;0;0
87682138;BOUSSY SAINT-ANTOINE;BOUSSY SAINT-ANTOINE;GARE DE BOUSSY ST ANTOINE;Boussy St A.;Boussy-Saint-Antoine;Rue de la Gare 91800;91097; Boussy-Saint-Antoine;614473;2409174;1;1;1;1;1;0;;1;0
87681478;BOUTIGNY;BOUTIGNY;GARE DE BOUTIGNY;Boutigny;Boutigny;Place de la Gare 91820 Boutigny Sur Essonne;91099; Boutigny-sur-Essonne;602966;2381781;0;1;0;0;Pas de CAB;0;;1;0
