route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
DUA800853100,DUA853,"TER","Beauvais <=> Beauvais Tillé Aéroport",,2,,000000,
DUA800803102,DUA803,"TER","Bonneval <=> Châteaudun",,2,,000000,
DUA800853103,DUA853,"TER","Chantilly Gouvieux <=> Senlis",,2,,000000,
DUA800804100,DUA804,"D","Corbeil Essonnes - Le Coudray Montceaux",,3,,000000,
DUA800850100,DUA850,"Bus","Coulommiers <=> La Ferté Gaucher Centre",,3,,000000,
DUA800853102,DUA853,"Bus","Crépy en Valois <=> Aéroport CDG 1",,3,,000000,
DUA800803101,DUA803,"Bus","Dourdan <=> Châteaudun",,3,,000000,
DUA800852105,DUA852,"Gare Montp","Gare Montparnasse <=> Rambouillet",,3,,,
DUA810802169,DUA802,"B","La Plaine Stade de France - Mitry Claye",,3,,000000,
DUA800854100,DUA854,"J","Les Mureaux <=> Conflans Ste Honorine",,3,,000000,
DUA800850103,DUA850,"P","Longueville <=> Provins",,3,,000000,
DUA800854101,DUA854,"J","Mantes la Jolie <=> Les Mureaux",,3,,000000,
DUA800853104,DUA853,"Nanteuil l","Nanteuil le Haudouin <=> Crépy en Valois",,3,,,
DUA810802143,DUA802,"Paris Est ","Paris Est - Aulnay sous Bois",,3,,,
DUA810802144,DUA802,"Paris Est ","Paris Est - Aéroport Charles de Gaulle 1",,3,,,
DUA810802168,DUA802,"Paris Est ","Paris Est - Le Bourget",,3,,,
DUA800852149,DUA852,"Bus","Pereire Levallois - Ampère Wagram",,3,,000000,
DUA800852151,DUA852,"Bus","Pont Cardinet - Pereire Saussure",,3,,000000,
DUA810802103,DUA802,"B","Roissy <=> Aulnay sous Bois",,3,,000000,
DUA800853106,DUA853,"Senlis <=>","Senlis <=> Chantilly Gouvieux",,3,,,
DUA800853105,DUA853,"Bus","Senlis <=> Creil",,3,,000000,
DUA800850518,DUA850,"Spécial Tr","Spécial Travaux Chateau Thierry - Gare de l\'Est",,3,,000000,
DUA800850506,DUA850,"Spécial Tr","Spécial Travaux Meaux - Chateau Thierry",,3,,,
DUA800851502,DUA851,"Spécial Tr","Spécial Travaux Montargis - Gare de Lyon",,3,,,
DUA800851503,DUA851,"Spécial Tr","Spécial Travaux Melun - Montereau via Moret",,3,,000000,
DUA800851501,DUA851,"Spécial Tr","Spécial Travaux Melun - Montargis",,3,,,
DUA800851504,DUA851,"Spécial Tr","Spécial Travaux Montereau - Gare de Lyon",,3,,000000,
DUA800854547,DUA854,"Spécial Tr","Spécial Travaux La Celle St Cloud - St Cloud",,3,,,
DUA800804529,DUA804,"Spécial Tr","Spécial Travaux Melun - Corbeil Essonnes",,3,,,
DUA800804525,DUA804,"Spécial Tr","Spécial Travaux Corbeil Essonnes - Gare de Lyon via Ris Orangis",,3,,000000,
DUA800804523,DUA804,"Spécial Tr","Spécial Travaux Corbeil Essonnes - Gare de Lyon via GRIGNY",,3,,000000,
DUA800854558,DUA854,"Spécial Tr","Spécial Travaux Sartrouville - Mantes la Jolie",,3,,,
DUA810802503,DUA802,"Spécial Tr","Spécial Travaux Aéroport CDG 1 - Gare de L'Est",,3,,,
DUA800804539,DUA804,"Spécial Tr","Spécial Travaux Corbeil Essonnes - La Ferté Alais",,3,,,
DUA800854546,DUA854,"Spécial Tr","Spécial Travaux Le Celle St Cloud - St Nom la Bretèche",,3,,,
DUA800854518,DUA854,"Spécial Tr","Spécial Travaux Poissy - Mantes la Jolie",,3,,,
DUA800854537,DUA854,"Spécial Tr","Spécial Travaux Mantes la Jolie - Vernon",,3,,000000,
DUA800854541,DUA854,"Spécial Tr","Spécial Travaux St Nom la Bretèche - St Cloud",,3,,,
DUA800853551,DUA853,"Bus","Spécial Travaux Creil - Beauvais",,3,,000000,
DUA800853519,DUA853,"Spécial Tr","Spécial Travaux Mitry Claye - Crépy en Valois",,3,,,
DUA800853504,DUA853,"Spécial Tr","Spécial Travaux Montigny Beauchamp - Ermont Eaubonne",,3,,000000,
DUA800852527,DUA852,"Spécial Tr","Spécial Travaux Gare Montparnasse - Versailles Chantiers",,3,,,
DUA800852520,DUA852,"Bus","Spécial Travaux La Verrière - Chartres",,3,,000000,
DUA800852518,DUA852,"Spécial Tr","Spécial Travaux Mantes la Jolie - Plaisir Grignon",,3,,000000,
DUA800852505,DUA852,"Spécial Tr","Spécial Travaux Plaisir Grignon - Dreux",,3,,,
DUA800852526,DUA852,"Bus","Spécial Travaux Châteaudun - Chartres",,3,,000000,
DUA800852525,DUA852,"Spécial Tr","Spécial Travaux Dreux - Gare Montparnasse",,3,,,
DUA800852522,DUA852,"Bus","Spécial Travaux Chartres - La Verrière",,3,,000000,
DUA800804511,DUA804,"Spécial Tr","Spécial Travaux Juvisy - La Ferté Alais via Grigny",,3,,000000,
DUA800803531,DUA803,"Spécial Tr","Spécial Travaux Brétigny - St Martin d'Etampes",,3,,,
DUA800803533,DUA803,"Spécial Tr","Spécial Travaux Juvisy - Brétigny",,3,,,
DUA800803510,DUA803,"Spécial Tr","Spécial Travaux Juvisy - Dourdan",,3,,,
DUA800803503,DUA803,"Spécial Tr","Spécial Travaux Brétigny - Juvisy",,3,,,
DUA800803509,DUA803,"Spécial Tr","Spécial Travaux Juvisy - St Martin dÆEtampes",,3,,,
DUA800803574,DUA803,"Spécial Tr","Spécial Travaux Chaville Vélizy - Versailles Rive Gauche",,3,,,
DUA800803573,DUA803,"Spécial Tr","Spécial Travaux Chaville Vélizy - St Quentin en Yvelines",,3,,,
DUA800803592,DUA803,"Spécial Tr","Spécial Travaux Etampes - Juvisy",,3,,,
DUA800803593,DUA803,"Spécial Tr","Spécial Travaux Marolles en Hurepoix - Brétigny",,3,,,
DUA800803544,DUA803,"Spécial Tr","Spécial Travaux Montigny Beauchamp - Neuilly Pte Maillot",,3,,,
DUA800804508,DUA804,"Spécial Tr","Spécial Travaux Gare de Lyon - Villeneuve St Georges",,3,,000000,
DUA800804503,DUA804,"Spécial Tr","Spécial Travaux Juvisy - Corbeil Essonnes (via Evry)",,3,,,
DUA800804500,DUA804,"Spécial Tr","Spécial Travaux Juvisy - Corbeil Essonnes (via Grigny)",,3,,,
