route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
DUA800853100,12829,DUASN048337R04002348242,"48337",1,,
DUA800853100,12784,DUASN048369R04002348243,"48369",1,,
DUA800853100,12829,DUASN048335R04002348244,"48335",1,,
DUA800853100,12827,DUASN048347R03001348245,"48347",1,,
DUA800853100,12784,DUASN048359R04002348246,"48359",1,,
DUA800853100,12827,DUASN048375R03001348247,"48375",1,,
DUA800853100,12829,DUASN048367R04002348248,"48367",1,,
DUA800853100,12828,DUASN058007R03001348249,"58007",1,,
DUA800853100,12828,DUASN058003R03001348250,"58003",1,,
DUA800853100,12828,DUASN058005R02001348251,"58005",1,,
DUA800853100,12827,DUASN048373R04001348252,"48373",1,,
DUA800853100,12828,DUASN058000R01001348253,"58000",1,,
DUA800853100,12784,DUASN048366R04001348254,"48366",1,,
DUA800853100,12829,DUASN048340R02002348255,"48340",1,,
DUA800853100,12784,DUASN048370R02002348256,"48370",1,,
DUA800853100,12827,DUASN048376R02001348257,"48376",1,,
DUA800853100,12828,DUASN058002R02001348258,"58002",1,,
DUA800853100,12205,DUASN048336R04001348259,"48336",1,,
DUA800853100,12784,DUASN048358R02002348260,"48358",1,,
DUA800853100,12784,DUASN048356R02002348261,"48356",1,,
DUA800853100,12205,DUASN048334R02001348262,"48334",1,,
DUA800853100,12827,DUASN048350R02001348263,"48350",1,,
DUA800853100,12784,DUASN048364R04001348264,"48364",1,,
DUA800853100,12829,DUASN048362R02002348265,"48362",1,,
DUA800853100,12827,DUASN048374R03001348266,"48374",1,,
DUA800803102,12205,DUASN032551R01002348386,"32551",1,,
DUA800803102,12208,DUASN042501R01001348387,"42501",1,,
DUA800803102,12204,DUASN032543R01001348388,"32543",1,,
DUA800803102,12206,DUASN032545R01001348389,"32545",1,,
DUA800803102,12205,DUASN042509R01001348390,"42509",1,,
DUA800803102,12205,DUASN042517R01001348391,"42517",1,,
DUA800803102,12208,DUASN042513R01001348392,"42513",1,,
DUA800803102,12207,DUASN042507R02001348393,"42507",1,,
DUA800803102,12146,DUASN042511R01001348394,"42511",1,,
DUA800803102,12150,DUASN042507R02002348395,"42507",1,,
DUA800803102,12204,DUASN032563R01001348396,"32563",1,,
DUA800803102,12205,DUASN032569R02001348397,"32569",1,,
DUA800803102,12146,DUASN042505R01001348398,"42505",1,,
DUA800803102,12121,DUASN042501R01002348399,"42501",1,,
DUA800803102,12205,DUASN042503R01002348400,"42503",1,,
DUA800803102,12205,DUASN032555R01001348401,"32555",1,,
DUA800803102,12146,DUASN032557R01001348402,"32557",1,,
DUA800803102,12206,DUASN032547R01001348403,"32547",1,,
DUA800803102,12146,DUASN032571R01001348404,"32571",1,,
DUA800803102,12145,DUASN032561R01002348405,"32561",1,,
DUA800803102,12146,DUASN042502R03001348406,"42502",1,,
DUA800803102,12204,DUASN032542R01001348407,"32542",1,,
DUA800803102,12205,DUASN042500R01001348408,"42500",1,,
DUA800803102,12208,DUASN042520R01004348409,"42520",1,,
DUA800803102,12208,DUASN042522R01001348410,"42522",1,,
DUA800803102,12213,DUASN042504R01001348411,"42504",1,,
DUA800803102,12146,DUASN042508R01001348412,"42508",1,,
DUA800803102,12212,DUASN042512R01004348413,"42512",1,,
DUA800803102,12205,DUASN032556R01001348414,"32556",1,,
DUA800803102,12204,DUASN042510R01001348415,"42510",1,,
DUA800803102,12205,DUASN032550R01001348416,"32550",1,,
DUA800803102,12145,DUASN042516R01003348417,"42516",1,,
DUA800803102,12145,DUASN032548R01001348418,"32548",1,,
DUA800803102,12204,DUASN032560R01001348419,"32560",1,,
DUA800803102,12206,DUASN032544R01001348420,"32544",1,,
DUA800803102,12210,DUASN042524R01001348421,"42524",1,,
DUA800803102,12211,DUASN042526R01001348422,"42526",1,,
DUA800803102,12209,DUASN042516R01002348423,"42516",1,,
DUA800803102,12145,DUASN042518R01002348424,"42518",1,,
DUA800803102,12146,DUASN042514R01001348425,"42514",1,,
DUA800803102,12146,DUASN032570R01001348426,"32570",1,,
DUA800803102,12146,DUASN032574R02001348427,"32574",1,,
DUA800803102,12205,DUASN032566R02001348428,"32566",1,,
DUA800853103,12145,DUASN048267R08001350795,"48267",1,,
DUA800853103,12146,DUASN048291R01001350796,"48291",1,,
DUA800853103,12447,DUASN048229R01001350797,"48229",1,,
DUA800853103,12187,DUASN048275R04002350798,"48275",1,,
DUA800853103,12145,DUASN048235R01001350799,"48235",1,,
DUA800853103,12145,DUASN048261R05001350800,"48261",1,,
DUA800853103,12145,DUASN048281R04001350801,"48281",1,,
DUA800853103,12145,DUASN048245R01001350802,"48245",1,,
DUA800853103,12145,DUASN048225R01001350803,"48225",1,,
DUA800853103,12145,DUASN048219R01001350804,"48219",1,,
DUA800853103,12209,DUASN048215R01001350805,"48215",1,,
